transaction_id,timestamp,user_id,amount,currency,merchant,country,card_present
D-001,2025-05-02T09:15:00Z,U1,48.00,EUR,Boulangerie Lenotre,FR,true
D-002,2025-05-06T12:40:00Z,U1,52.50,EUR,Supermarche Casino,FR,true
D-003,2025-05-11T19:05:00Z,U1,47.20,EUR,Le Bouillon,FR,true
D-004,2025-05-18T08:30:00Z,U1,61.00,EUR,Pharmacie Centrale,FR,true
D-005,2025-05-24T13:10:00Z,U1,39.90,EUR,Monoprix,FR,true
D-006,2025-06-01T10:00:00Z,U1,55.00,EUR,Cafe de Flore,FR,true
D-007,2025-06-01T10:40:00Z,U1,420.00,JPY,Konbini Shinjuku,JP,false
D-010,2025-05-03T11:00:00Z,U2,80.00,EUR,Fnac,FR,true
D-011,2025-05-12T17:30:00Z,U2,95.00,EUR,Decathlon,FR,true
D-012,2025-05-20T18:45:00Z,U2,110.00,EUR,Zara,FR,true
D-013,2025-05-28T20:15:00Z,U2,88.00,EUR,Restaurant Le Train Bleu,FR,true
D-014,2025-06-02T03:22:00Z,U2,5200.00,EUR,Bijouterie Cartier,FR,false
D-020,2025-06-03T14:00:00Z,U3,12.00,EUR,AppStore,FR,false
D-021,2025-06-03T14:00:25Z,U3,9.99,EUR,AppStore,FR,false
D-022,2025-06-03T14:00:48Z,U3,14.50,EUR,AppStore,FR,false
D-023,2025-06-03T14:01:10Z,U3,19.99,EUR,AppStore,FR,false
D-024,2025-06-03T14:01:35Z,U3,7.50,EUR,AppStore,FR,false
D-030,2025-05-05T10:00:00Z,U4,1800.00,EUR,Hotel Ritz,FR,true
D-031,2025-05-15T10:00:00Z,U4,2200.00,EUR,Air France,FR,false
D-032,2025-05-25T10:00:00Z,U4,1950.00,USD,Hotel Plaza,US,false
D-033,2025-06-04T10:00:00Z,U4,2100.00,EUR,Galeries Lafayette,FR,true
D-040,2025-06-05T22:05:00Z,U10,480.00,EUR,CryptoExchange BitMax,RU,false
D-041,2025-06-05T22:20:00Z,U11,495.00,EUR,CryptoExchange BitMax,RU,false
D-042,2025-06-05T22:35:00Z,U12,510.00,EUR,CryptoExchange BitMax,RU,false
D-043,2025-06-05T22:50:00Z,U13,475.00,EUR,CryptoExchange BitMax,RU,false
D-044,2025-06-05T23:05:00Z,U14,505.00,EUR,CryptoExchange BitMax,RU,false
D-050,2025-05-08T09:00:00Z,U5,30.00,EUR,Uber,FR,false
D-051,2025-05-16T09:00:00Z,U5,28.00,EUR,Uber,FR,false
D-052,2025-05-22T09:00:00Z,U5,32.00,EUR,Uber,FR,false
D-053,2025-06-05T02:30:00Z,U5,899.00,EUR,Electronics Online,CN,false
D-060,2025-06-04T15:00:00Z,U6,75.00,EUR,Kiosque,,true
D-061,2025-06-04T16:00:00Z,U6,,EUR,Tabac,FR,true
D-070,2025-05-09T12:00:00Z,U7,150.00,EUR,Leroy Merlin,FR,true
D-071,2025-05-19T12:00:00Z,U7,170.00,EUR,Castorama,FR,true
D-072,2025-05-29T12:00:00Z,U7,160.00,EUR,Ikea,FR,true
D-073,2025-06-05T12:00:00Z,U7,165.00,EUR,Brico Depot,FR,true
D-080,2025-06-02T08:00:00Z,U8,90.00,EUR,Hotel Mercure,FR,true
D-081,2025-06-06T08:00:00Z,U8,120.00,USD,Hotel Hilton,US,false
D-090,2025-06-05T22:38:00Z,U15,520.00,EUR,CryptoExchange BitMax,RU,false
D-091,2025-06-05T23:15:00Z,U16,488.00,EUR,CryptoExchange BitMax,RU,false
